class,XX1_1,YY1_1,XX2_1,YY2_1,SIZE_1,DIAG_1,XX1_2,YY1_2,XX2_2,YY2_2,SIZE_2,DIAG_2,XX3_1,YY1_3,XX2_3,YY2_3,SIZE_3,DIAG_3,XX1_4,YY1_4,XX2_4,YY2_4,SIZE_4,DIAG_4,XX1_5,YY1_5,XX2_5,YY2_5,SIZE_5,DIAG_5
6,35,0,0,14,37.70,54.67,0,14,0,28,14.00,54.67,0,28,35,42,37.70,54.67,35,0,34,10,10.05,54.67,35,10,30,10,5.00,54.67
2,11,0,5,4,7.21,24.60,5,4,0,8,6.40,24.60,0,8,0,15,7.00,24.60,0,15,5,19,6.40,24.60,5,19,11,22,6.71,24.60
6,14,0,0,10,17.20,34.48,0,10,0,20,10.00,34.48,0,20,14,30,17.20,34.48,14,0,15,7,7.07,34.48,17,7,12,7,5.00,34.48
6,14,0,0,10,17.20,33.54,0,10,0,20,10.00,33.54,0,20,14,30,17.20,33.54,14,0,13,6,6.08,33.54,15,6,9,6,6.00,33.54
3,0,0,0,25,25.00,33.97,0,25,10,18,12.21,33.97,10,18,23,12,14.32,33.97,23,12,10,6,14.32,33.97,10,6,0,0,11.66,33.97
1,0,0,0,11,11.00,32.20,12,0,14,14,14.14,32.20,0,11,14,14,14.32,32.20,0,11,8,29,19.70,32.20,14,14,8,29,16.16,32.20
2,26,0,16,5,11.18,39.70,16,5,0,10,16.76,39.70,0,10,0,20,10.00,39.70,0,20,16,25,16.76,39.70,16,25,26,30,11.18,39.70
4,0,0,0,24,24.00,63.03,0,24,1,46,22.02,63.03,0,24,19,24,19.00,63.03,1,46,42,47,41.01,63.03,0,0,36,0,36.00,63.03
7,0,0,0,6,6.00,36.80,23,0,25,11,11.18,36.80,0,6,25,11,25.50,36.80,0,6,0,22,16.00,36.80,25,11,23,27,16.12,36.80
4,0,0,0,15,15.00,41.11,0,15,1,31,16.03,41.11,0,15,24,15,24.00,41.11,1,31,27,31,26.00,41.11,0,0,21,0,21.00,41.11
